Coleta,Dia,Vaso,Tempo,Soil,Soil_indice_0_1,faixa_soil,Classe,predito,prob_sem_nematoide,acertou
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,589.82,157.0,0.0525252525252525,seco,0,0,0.4405851807633217,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,590.07,156.0,0.0521885521885521,seco,0,0,0.4266568387557792,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,590.38,150.0,0.0501683501683501,seco,0,0,0.3653900474501919,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,590.63,158.0,0.0528619528619528,seco,0,0,0.4942189307983928,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,590.88,156.0,0.0521885521885521,seco,0,0,0.4449382131776668,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,591.13,156.0,0.0521885521885521,seco,0,0,0.4573532830790207,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,591.44,157.0,0.0525252525252525,seco,0,1,0.5732430814674311,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,591.69,155.0,0.0518518518518518,seco,0,1,0.5625407003884669,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,591.94,161.0,0.0538720538720538,seco,0,1,0.5568072956436005,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,592.19,153.0,0.0511784511784511,seco,0,1,0.5353027262863574,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,592.45,156.0,0.0521885521885521,seco,0,1,0.5632661820976855,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,592.7,156.0,0.0521885521885521,seco,0,0,0.4362916942154609,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,592.96,159.0,0.0531986531986532,seco,0,1,0.5658004295957011,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,593.21,155.0,0.0518518518518518,seco,0,1,0.5542649554259639,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,593.47,154.0,0.0515151515151515,seco,0,1,0.5207107061645221,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,593.73,151.0,0.0505050505050505,seco,0,1,0.5184243230711695,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,593.99,155.0,0.0518518518518518,seco,0,1,0.546401707562716,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,594.24,155.0,0.0518518518518518,seco,0,1,0.5330639958910144,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,594.49,157.0,0.0525252525252525,seco,0,1,0.5640721199361859,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,594.8,158.0,0.0528619528619528,seco,0,1,0.5731482561456553,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,595.05,157.0,0.0525252525252525,seco,0,1,0.5482479028529167,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,595.3,155.0,0.0518518518518518,seco,0,1,0.5377091853170978,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,595.56,156.0,0.0521885521885521,seco,0,1,0.5497318127594251,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,595.86,156.0,0.0521885521885521,seco,0,1,0.5665161814302231,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,596.11,155.0,0.0518518518518518,seco,0,1,0.5420441762051846,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,596.37,158.0,0.0528619528619528,seco,0,0,0.4401036670899256,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,596.62,153.0,0.0511784511784511,seco,0,1,0.5204355579715665,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,597.05,156.0,0.0521885521885521,seco,0,1,0.5461517304263095,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,597.62,159.0,0.0531986531986532,seco,0,1,0.5534124962372727,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,598.04,155.0,0.0518518518518518,seco,0,1,0.5704942812903238,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,598.29,156.0,0.0521885521885521,seco,0,1,0.5854307623768007,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,598.54,151.0,0.0505050505050505,seco,0,1,0.5554756884657457,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,598.8,155.0,0.0518518518518518,seco,0,0,0.4642685682801663,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,599.06,160.0,0.0535353535353535,seco,0,1,0.6033600092351333,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,599.32,156.0,0.0521885521885521,seco,0,1,0.5888838290011951,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,599.57,158.0,0.0528619528619528,seco,0,1,0.5926294425118921,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,599.82,157.0,0.0525252525252525,seco,0,1,0.5922654715132724,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,600.09,153.0,0.0511784511784511,seco,0,1,0.5722217071724066,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,600.35,159.0,0.0531986531986532,seco,0,1,0.602714319055102,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,600.7,156.0,0.0521885521885521,seco,0,1,0.5983486533040995,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,600.94,159.0,0.0531986531986532,seco,0,1,0.6043280756688586,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,601.18,160.0,0.0535353535353535,seco,0,1,0.5054140358697757,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,601.42,162.0,0.0542087542087542,seco,0,1,0.6256122356349498,False
